,ERRCAUTER,ARTCO2,VENTLUNG,HRSAT,HR,ERRLOWOUTPUT,FIO2,PVSAT,MINVOL,CATECHOL,KINKEDTUBE,VENTALV,BP,HREKG,HISTORY,VENTMACH,STROKEVOLUME,VENTTUBE,DISCONNECT,MINVOLSET,PAP,TPR,HRBP,EXPCO2,CVP,PRESS,HYPOVOLEMIA,SAO2,SHUNT,LVFAILURE,INTUBATION,CO,PCWP,LVEDVOLUME,INSUFFANESTH,ANAPHYLAXIS,PULMEMBOLUS
ERRCAUTER,0,0.0,0.0,1.58332606176428,-1.2067968896251398,0,0,0.0,0.534567216857753,-0.426888404039627,0.0,0.0,0.0,0.9089218020035942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.101764803114006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTCO2,0,0.0,0.114241611528862,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-0.31661882127743896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35478329214472704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VENTLUNG,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.49049225962568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HRSAT,0,0.0,0.0,0.0,0.7536194406501171,0,0,0.0,-0.31872280952718607,0.269326142295735,0.0,0.0,0.0,0.43513082458829605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0310339776922133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.249560710448212,0.227677446972441,0.0,0.0,0.0237768002713097,-0.0104236572275945,0.0,0.0,0.0,-0.0208012013224752,0.419698615814516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6832058313426851,0.0,0.0,0.0147663557031683,0.0,0.0
ERRLOWOUTPUT,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56735483398636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIO2,0,-0.10837674316252999,0.0571414594145793,0.0,0.0,0,0,-0.13895623554960598,0.0,0.0,0.0,0.19220494929874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30873812056461103,-0.0535014229071715,0.0,0.0254459226774614,0.0,0.0,0.0,0.0,0.0,0.0
PVSAT,0,-0.292324703126517,0.168038363700863,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.539352769477192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0411260808229208,0.0,0.0707256483247662,0.0,0.0,0.0,0.0,0.0,-0.029224431989745
MINVOL,0,-0.186393308983805,0.5756054558775171,0.0,0.0,0,0,0.0834570020564091,0.0,-0.0596129211272823,0.0127338845016235,0.34100146281437005,-0.024032653529166,0.0,0.0,0.0,0.0,-0.155141211471663,-0.0796915947481117,0.175060848314545,0.0,-0.0780365397352031,0.0,0.159458078011235,0.0,0.0722251888674724,0.0,0.184655313115797,-0.0104179078403175,0.0,-0.009291901069251998,0.0,0.0,0.0,0.0,0.0,0.0
CATECHOL,0,0.300321579163062,-0.0336883463162249,0.0,1.16794430903283,0,0,-0.044929272658874995,0.0,0.0,0.0,-0.0733013752935192,-0.24776219189996201,0.0,0.0,0.0,0.0,0.0,0.0286670654593151,0.0,0.0,-1.05830014190112,0.0178955534282647,0.0,0.0,0.0,0.0,-0.122379756254699,0.0171942536499496,0.0,0.0337812314988566,0.0,0.0,0.0,0.0,-0.0106403822312617,0.0
KINKEDTUBE,0,0.0,0.10671579033198401,0.0,0.0,0,0,0.020384241859739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0687730655880903,0.0241332719735632,-0.0997154722880311,0.0,0.0,0.0,0.0,0.0,0.578944539960226,0.0,0.0390634621918265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VENTALV,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10214061580593099,0.0,0.0,0.0,0.0,0.0713352935855589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BP,0,0.00855131804670803,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.096926202649136,0.0,0.0,0.0,0.0,0.0677690487322152,0.0,0.0,0.0,0.0,0.0368250961786952,0.0,0.0,0.0219922823920447,0.0,0.165022005701488,0.0,0.0,0.0,0.00501380797152021,0.0
HREKG,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0310357460702469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HISTORY,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VENTMACH,0,0.0,0.068362355425673,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.794792296944128,0.0,0.0,0.0,0.0,0.0,0.0398741336187019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STROKEVOLUME,0,0.0,-0.0180222690178092,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0173227751451885,0.0,-0.20253715247660503,0.0,0.0,-0.14601053112178,0.0,-0.162459352586982,0.0,0.0160375694412181,0.0,0.0,0.0
VENTTUBE,0,0.0460534697198481,0.0,0.0,0.0,0,0,-0.00880660010180852,0.0,0.0,0.0,-0.0265247611406821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0378529990325315,0.0,-0.235026137108209,0.0,-0.0134286076151471,0.0067922462886889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DISCONNECT,0,0.0,-0.0847421498664057,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51124911209436,0.0,0.236095801907066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MINVOLSET,0,-0.0454696506967754,0.0819064053106593,0.0,0.0,0,0,0.0223232832093192,0.0,0.0,0.0,0.0341583713657934,0.0,0.0,0.0,0.918764058237609,0.0,-0.509938612303266,0.0,0.0,0.0,0.0,0.0,0.0420519713034188,0.0,-0.0489735857164976,0.0,0.0468756560272568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAP,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TPR,0,0.0394801094226439,0.0,0.0,0.0,0,0,-0.00429691727343051,0.0,0.0,0.0,-0.0101246791807288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00285593922444122,0.0,0.0,0.0113855138718633,0.0,-0.0163212527631058,0.0,0.0,0.0,-0.00941562240418035,0.0,0.0,0.0,-0.003781510340532,0.0
HRBP,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXPCO2,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0440440785831259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CVP,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.514542605975142,0.0,0.0,0.0
PRESS,0,0.0179938786358707,0.09488319775714099,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-0.0082100710433686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0202244898372556,0.0,0.0,0.0,0.0,0.0,0.0,-0.0301773099607468,-0.00740215083328861,0.0,0.0,0.0,0.0,0.0
HYPOVOLEMIA,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0435468691338001,0.0,0.0,0.0,0.0,-0.056967905822575,0.0,0.222111992156401,0.0,-1.02052264316401,0.0,0.0,0.0
SAO2,0,0.0,0.0,0.0,0.0,0,0,0.671765409135245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.219457016142441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035091424689644
SHUNT,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LVFAILURE,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8951455654986159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.541601127973512,0.0,0.0,0.0,0.0,0.0,0.0,0.41807627125384206,0.0,-0.21610756247862398,0.0,0.0,0.0
