,Akt,PKA,Mek,Jnk,PKC,Raf,P38,PIP3,PIP2,Plcg
Akt,0,-0.367812493861944,0.36952616116164,0.0333002903865343,-0.18590051777300498,0.0,0.11882766030404901,0,0.0,0.0
PKA,0,0.0,-0.43161086571211504,-0.5068681375127779,0.0,-0.544585344057289,-0.333051502155916,0,0.0,0.0
Mek,0,0.0,0.0,0.0,-0.08795654730112501,0.291128517176023,0.0481145747807398,0,0.0,0.0
Jnk,0,0.0,0.0,0.0,0.0840228549796525,0.0,0.12286505869264301,0,0.0,0.0
PKC,0,0.0,0.0,0.0,0.0,-0.371190460407908,-0.23338998214675302,0,0.0,0.0
Raf,0,0.0,0.0,0.0,0.0,0.0,0.0260093753558921,0,0.0,0.0
P38,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
PIP3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0338587997329887,-0.109734575789911
PIP2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9111052036208149
Plcg,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
