,Erk,PKA,Mek,Jnk,PKC,Raf,P38,PIP3,PIP2,Plcg
Erk,0,0,0.416140565218758,0.0556898147116416,0.0,0.0,0.0,0,0.0,0.0
PKA,0,0,-0.627916789099605,-0.529830932991609,0.10275543571167402,-0.522573644678623,-0.36227888532044605,0,0.0,0.0
Mek,0,0,0.0,0.0,-0.135591855404344,0.330947043102548,0.0791972891949223,0,0.0,0.0
Jnk,0,0,0.0,0.0,0.0904130771473314,0.0269285338526104,0.117416999147783,0,0.0,0.0
PKC,0,0,0.0,0.0,0.0,-0.34967582705256,-0.209748281607178,0,0.0,0.0
Raf,0,0,0.0,0.0,0.0,0.0,0.0247753512725117,0,0.0,0.0
P38,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
PIP3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0284458189781639,-0.101618679537224
PIP2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.911066438591523
Plcg,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
