,Erk,Akt,Mek,Jnk,PKC,Raf,P38,PIP3,PIP2,Plcg
Erk,0.0,0.0,0,-0.191900226359603,0.0,-0.23721479018789002,-0.136940250743065,0,0.0,0.0
Akt,0.45269887632856304,0.0,0,0.237627694365279,-0.143820042078735,0.24307775073366697,0.19777405274702803,0,0.0,0.0
Mek,0.124440861386736,0.457092038946004,0,0.177116815053733,0.0380435246965467,0.528049040433607,0.12342945915257199,0,0.0,0.0
Jnk,0.0,0.0,0,0.0,0.137427988897296,0.11421605513305699,0.17719918408268698,0,0.0,0.0
PKC,0.0,0.0,0,0.0,0.0,0.0,-0.18266426454892698,0,0.0,0.0
Raf,0.0,0.0,0,0.0,-0.30959726467958004,0.0,0.10425198819901699,0,0.0,0.0
P38,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
PIP3,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0387520486726204,-0.104880682455952
PIP2,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.9305665394290631
Plcg,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
