,Erk,Akt,PKA,Jnk,PKC,Raf,P38,PIP3,PIP2,Plcg
Erk,0.0,0,0.324950555784725,0.0,0.0906654921140148,0.076380995680739,-0.0554163323759953,0,0.0,0.0
Akt,0.509190803872659,0,-0.528437140450747,0.0,-0.260272910112548,0.060031632046913995,0.156771440918357,0,0.0,0.0
PKA,0.0,0,0.0,-0.505023062188499,0.0640599247869414,-0.677631700164904,-0.324773532188469,0,0.0,0.0
Jnk,0.0,0,0.0,0.0,0.109367940485482,0.0,0.108361835561638,0,0.0,0.0
PKC,0.0,0,0.0,0.0,0.0,-0.392071172834391,-0.191605513465357,0,0.0,0.0
Raf,0.0,0,0.0,0.0,0.0,0.0,0.0531372001950797,0,0.0,0.0
P38,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
PIP3,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0498901213756969,-0.101275930795435
PIP2,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.903878224073935
Plcg,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
