,Erk,Akt,PKA,Mek,PKC,Raf,P38,PIP3,PIP2,Plcg
Erk,0.0,0.0,0,0.0,0.133506188684862,0.0,-0.0456009616837538,0,0.0,0.0
Akt,0.529051067672724,0.0,0,0.0,-0.23644991062423396,0.0,0.12532076847404,0,0.0,0.0
PKA,0.43088892016384295,-0.28424974649359097,0,-0.6153134703131321,-0.0721432126840497,-0.5391687950451219,-0.385628683253042,0,0.0,0.0
Mek,0.25131079506624604,0.335394571179511,0,0.0,-0.119509020664525,0.306811852479511,0.0548728402117351,0,0.0,0.0
PKC,0.0,0.0,0,0.0,0.0,-0.34741480578615197,-0.20620745885876202,0,0.0,0.0
Raf,0.0,0.0,0,0.0,0.0,0.0,0.0344928077032644,0,0.0,0.0
P38,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
PIP3,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0260554792115837,-0.11914824666564301
PIP2,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.8993705670327701
Plcg,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
