,Erk,Akt,PKA,Mek,Jnk,Raf,P38,PIP3,PIP2,Plcg
Erk,0,0.537941965356712,0.22712703513662,0.362311573502392,-0.156751578053038,-0.0336610553868605,-0.16558171033872301,0,0.0,0.0
Akt,0,0.0,-0.35520039544296206,0.11089202976051901,0.32328732960643003,0.0506763834305795,0.359698102700133,0,0.0,0.0
PKA,0,0.0,0.0,-0.5422996723396529,0.0,-0.47270190065949796,0.0,0,0.0,0.0
Mek,0,0.0,0.0,0.0,0.0,0.35863725295068205,0.0,0,0.0,0.0
Jnk,0,0.0,-0.26812826884992996,0.0,0.0,-0.0322480088623467,0.19706718949232002,0,0.0,0.0
Raf,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
P38,0,0.0,-0.168978998740036,0.0676533838300896,0.0,0.112324132032471,0.0,0,0.0,0.0
PIP3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0399151339532641,-0.110071630806116
PIP2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.927073920701486
Plcg,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
