,Erk,Akt,PKA,Mek,Jnk,PKC,P38,PIP3,PIP2,Plcg
Erk,0.0,0,0.27704754526583697,0.332372918141396,0.0,0.0953815346526091,-0.0613638400691268,0,0.0,0.0
Akt,0.49706177970116494,0,-0.5147653504632249,0.143731560722069,0.0614317765315073,-0.21518621299381,0.134933261721992,0,0.0,0.0
PKA,0.0,0,0.0,-0.5716123199924461,-0.496670463865557,0.0,-0.329669019545172,0,0.0,0.0
Mek,0.0,0,0.0,0.0,0.0,-0.143280401682908,0.0776575609212769,0,0.0,0.0
Jnk,0.0,0,0.0,0.0,0.0,0.110069393444757,0.11405938702000698,0,0.0,0.0
PKC,0.0,0,0.0,0.0,0.0,0.0,-0.211386012035549,0,0.0,0.0
P38,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
PIP3,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0281699748342619,-0.10351678193668902
PIP2,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.922794237357198
Plcg,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
