,Erk,Akt,PKA,Mek,Jnk,PKC,Raf,PIP3,PIP2,Plcg
Erk,0.0,0,0.0,0.351913635701057,0.0,0.102104489949874,-0.0418219029602853,0.0,0.0,0.0
Akt,0.615167289048804,0,-0.365667834820766,0.137579636117835,0.0457583512361967,-0.219493695496733,0.0,0.0,0.0,0.0
PKA,0.332635366971674,0,0.0,-0.546126541386118,-0.48350242176199,0.0,-0.478747110725521,0.0,0.0,0.0
Mek,0.0,0,0.0,0.0,0.0,-0.135207593650165,0.326106414699544,0.0,0.0,0.0
Jnk,0.0,0,0.0,0.0,0.0,0.0996954169110895,0.0431279372629742,0.0360418615229871,0.0,0.0
PKC,0.0,0,0.0,0.0,0.0,0.0,-0.33904604474563205,-0.0328333913330891,0.0,0.0
Raf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIP3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0369626768415535,-0.103201057358578
PIP2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9011150926091379
Plcg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
