,Erk,Akt,PKA,Mek,Jnk,PKC,Raf,P38,PIP2,Plcg
Erk,0.0,0,0.307481633051107,0.33746636491545196,0.0,0.135100560946006,0.0,-0.0532950714304914,0,0.0
Akt,0.502753118485572,0,-0.517681099819974,0.151838812997229,0.0450575748210883,-0.266260324437907,0.0,0.126183987380107,0,0.0
PKA,0.0,0,0.0,-0.5428122844774529,-0.517866124305735,0.0,-0.52136897386008,-0.341369570986454,0,0.0
Mek,0.0,0,0.0,0.0,0.0,-0.111907638974657,0.322091078907368,0.0508435554954199,0,0.0
Jnk,0.0,0,0.0,0.0,0.0,0.104570057988093,0.0,0.09566470710596198,0,0.0
PKC,0.0,0,0.0,0.0,0.0,0.0,-0.35122361550335496,-0.211158885711918,0,0.0
Raf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
P38,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
PIP2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.922675903554884
Plcg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
