,Erk,Akt,PKA,Mek,Jnk,PKC,Raf,P38,PIP3,PIP2
Erk,0.0,0,0.29377874326808,0.34417759407357296,0.0,0.115893531436415,0.0,-0.0750253041833113,0,0.0
Akt,0.492490793987281,0,-0.501810799037771,0.145482439354271,0.0606528287997957,-0.23551774373794102,0.0,0.134903961321543,0,0.0
PKA,0.0,0,0.0,-0.554361461956236,-0.487967670972258,0.0,-0.475778774484019,-0.27090139021052,0,0.0
Mek,0.0,0,0.0,0.0,0.0301113604086841,-0.13037511700596002,0.336730248213412,0.0610970684617752,0,0.0
Jnk,0.0,0,0.0,0.0,0.0,0.10813183664021901,0.0,0.12092682909509299,0,0.0
PKC,0.0,0,0.0,0.0,0.0,0.0,-0.344509602803049,-0.167760846439382,0,0.0
Raf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0499366629514547,0,0.0
P38,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
PIP3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0335688310757235
PIP2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
