,Akt,P38,PIP3,PIP2,PKA,PKC,Mek,Jnk,Erk,Raf,Plcg
Akt,0,0.0294521217312344,0,0.0,-0.1020168922553,0.0191481888804896,0.0595727074262057,0.0360736109281282,-0.18933187623014103,0.0,0.0
P38,0,0.0,0,0.0,-0.225070871556821,0.126456011892282,0.0184026450999371,0.0398086323097378,0.0,0.00574940063024013,0.0
PIP3,0,0.0,0,-0.0630251906603683,0.0,0.0,0.0,0.0,0.0,0.0,-0.0214970112270469
PIP2,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.423844197335195
PKA,0,0.0,0,0.0,0.0,0.6395943249341429,0.00791818233541453,0.0808189593899621,0.35347072695147796,-0.11573405614441902,0.0
PKC,0,0.0,0,0.0,0.0,0.0,0.19700479919060201,-0.005856986150776279,-0.0658515431280681,-0.0061506073164811,0.0
Mek,0,0.0,0,0.0,0.0,0.0,0.0,0.0351919716591093,0.0862826965104564,0.411933049369902,0.0
Jnk,0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.033520457601708,-0.0183710686971347,0.0
Erk,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0521191661257613,0.0
Raf,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plcg,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
